",""Date"",""Market.Area.Buy"",""Market.Area.Sell"",""Hour.from"",""Hour.to"",""Volume..MW."",""Price..EUR."",""Time.Stamp"",""Trade.ID"",""product"",""VSTD.from"",""VSTD.to"",""length"""
"1,2015-01-01,""DE"",""DE"",""12"",""12"",0.1,9.58,2014-12-31 15:17:00,1011649186,""Hour"",45,48,4"
"2,2015-01-01,""AT"",""AT"",""8"",""8"",0.1,18.01,2014-12-31 15:30:00,1011649217,""Hour"",29,32,4"
"3,2015-01-01,""DE"",""DE"",""1"",""24"",5,14.5,2014-12-31 15:39:00,1011649232,""Hour"",1,96,96"
"4,2015-01-01,""DE"",""DE"",""18qh1"",""18qh1"",20,24.2,2014-12-31 16:01:00,1011649382,""VSTD"",69,69,1"
"5,2015-01-01,""DE"",""DE"",""18qh4"",""18qh4"",20,29.2,2014-12-31 16:01:00,1011649383,""VSTD"",72,72,1"
"6,2015-01-01,""DE"",""DE"",""22qh1"",""22qh1"",12.5,17.1,2014-12-31 16:01:00,1011649384,""VSTD"",85,85,1"
"7,2015-01-01,""DE"",""DE"",""22qh4"",""22qh4"",14.2,11.4,2014-12-31 16:01:00,1011649385,""VSTD"",88,88,1"
"8,2015-01-01,""DE"",""DE"",""23qh2"",""23qh2"",20,14.5,2014-12-31 16:01:00,1011649386,""VSTD"",90,90,1"
"9,2015-01-01,""DE"",""DE"",""7qh1"",""7qh1"",1.9,0.76,2014-12-31 16:01:00,1011649387,""VSTD"",25,25,1"
"10,2015-01-01,""DE"",""DE"",""7qh2"",""7qh2"",1.3,0.76,2014-12-31 16:01:00,1011649388,""VSTD"",26,26,1"
